iter	RMSE
0	17.07410001
1	16.90803749
2	16.7508225
3	16.60204351
4	16.46130287
5	16.31846749
6	16.19712872
7	16.04290875
8	15.94286532
9	15.80285247
10	15.6956468
11	15.54919668
12	15.45262832
13	15.36236821
14	15.28507234
15	15.1668796
16	15.07683388
17	15.02546959
18	14.94045211
19	14.86708866
20	14.76691792
21	14.66947414
22	14.60479976
23	14.51741882
24	14.40439547
25	14.33671073
26	14.23460166
27	14.1603925
28	14.08270979
29	13.99305701
30	13.92527773
31	13.87074527
32	13.80230564
33	13.75678848
34	13.71664087
35	13.63081262
36	13.59363507
37	13.55218714
38	13.4922365
39	13.42845405
40	13.39702482
41	13.34619746
42	13.30565861
43	13.25883904
44	13.1899745
45	13.13201053
46	13.08030563
47	13.01602828
48	12.97176188
49	12.93822693
50	12.91116714
51	12.88265818
52	12.8458323
53	12.80467383
54	12.76984439
55	12.72954925
56	12.69541545
57	12.62888563
58	12.60513059
59	12.57024152
60	12.54265364
61	12.50947934
62	12.45913521
63	12.42915729
64	12.39257159
65	12.33023528
66	12.30706314
67	12.25850401
68	12.23623045
69	12.21094215
70	12.16726994
71	12.14355086
72	12.11033358
73	12.08472046
74	12.06451141
75	12.02711955
76	11.99333202
77	11.92866581
78	11.90188118
79	11.85982021
80	11.83336225
81	11.75325141
82	11.72063126
83	11.69923009
84	11.65066595
85	11.62732723
86	11.60916757
87	11.57794543
88	11.55769887
89	11.52983904
90	11.48870364
91	11.45496066
92	11.42981544
93	11.41090424
94	11.38058041
95	11.35056151
96	11.32991641
97	11.30289038
98	11.26399127
99	11.20998938
100	11.19028948
101	11.17235386
102	11.1073304
103	11.06732439
104	11.04660848
105	10.99973581
106	10.973123
107	10.95281278
108	10.92925404
109	10.91192499
110	10.88251433
111	10.85770143
112	10.80496418
113	10.74220305
114	10.72723746
115	10.69953376
116	10.68432012
117	10.65934398
118	10.63560224
119	10.6145586
120	10.59537222
121	10.56986642
122	10.54194986
123	10.51957236
124	10.50485639
125	10.46775848
126	10.44473154
127	10.42935844
128	10.38437876
129	10.34027867
130	10.32642088
131	10.28467172
132	10.26071296
133	10.23244302
134	10.21303861
135	10.19788068
136	10.17172469
137	10.14865338
138	10.1147238
139	10.09332199
140	10.07664784
141	10.0532834
142	10.02794613
143	10.00782612
144	9.988319519
145	9.964631555
146	9.933362558
147	9.898117356
148	9.879153687
149	9.865821266
